token,amount,bankcharges,transfertype,fromaccnumber,fromname,toaccnumber,toname,remark
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000013,U TIN MG MG NYUNT (SN-39),0020111000013,DAW THU ZAR LIN (SL-200),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000014,U WIN NAING OO (SO-12),0020111000014,U HTUN LIN (SL-201),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000015,DAW HLA HLA PYONE (SP-8),0020111000015,DAW HLA HLA MAW (SM-526),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000016,U NYI NYI SOE (SS-38),0020111000016,DAW ROMAR DAWEE(S)MG TOKE MAHAR DUU(SW-318),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000017,U WIN SWE (SS-84),0020111000017,DAW THIN THIN SOE (SS-270),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000018,U MYINT THU (ST-32),0020111000018,U MOE MYINT AUNG (SA-303),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000019,U MYINT THEIN (ST-77),0020111000019,U ZAW MIN OO (SO-178),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000020,U WIN (SW-72),0020111000020,U MYO CHIT (SC-29),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000021,U SAN YA (SY-18),0020111000021,U SOE HLAING HTAY (SH-372),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000022,DAW MYINT MYINT SHEIN (SS-100),0020111000022,U HLA HTUN (SH-373),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000023,U THAN HTUN (SH-119),0020111000023,U AUNG KO KO (SK-271),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000024,U AUNG MOE SWE (SS-109),0020111000024,U SAN AUNG (SA-304),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000025,U AUN MIN SEIN (SS-114),0020111000025,DAW CHO CHO HLAING (SH-370),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000026,U NYO LAY (SL-71),0020111000026,DAW ZIN MAR HLAING (SH-371),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000027,U MAUNG LAT (SL-75),0020111000027,DAW NAING NAING WIN (SW-320),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000028,U THET NAING OO (SO-74),0020111000028,U AYE MIN LATT (SL-202),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000029,U MAUNG MYINT (SM-228),0020111000029,DAW HLA HLA MYINT (SM-527),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000030,U THEIN NWE (SN-111),0020111000030,U NAING OO (SO-179),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000031,DAW THAN THAN (ST-173),0020111000031,DAW MYA SANDAR (SS-272),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000032,U TUN TUN OO (SO-87),0020111000032,DAW KHIN MYO AYE (SA-306),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000033,DAW MAY YI LIN (SL-104),0020111000033,DAW KHAING ZIN OO (SO-180)(O-120)(SO-30),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000034,DAW MAY YIN (A) THAN THAN AYE (SA-149),0020111000034,U ZIN MIN KO KO (SK-272),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000035,DAW TIN MYO KYAW (SK-168),0020111000035,U AUNG NYEIN (SN-213),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000036,U WIN NAING (SN-135),0020111000036,U MYINT MAUNG (SM-528),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000037,U MYO THEIN (ST-206),0020111000037,DAW AYE AYE WIN (SW-321),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000038,DAW KHIN SWE OO (SO-118),0020111000038,DAW THIRI SU LAT KYAW (SK-273),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000039,U HAN THAR HTET (SH-223),0020111000039,U WIN AUNG (SA-307),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000040,DAW NAN NYUNT MAY (SM-314),0020111000040,DAW KHIN SAN TINT (ST-353),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000041,DAW OHMMAR TIN (ST-243),0020111000041,U SOE NAING (SN-214),jmTest
eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ7XCJhcHBJRFwiOlwiaWJhbmtpbmdcIixcImFwcEtleVwiOlwiM2F5M2F5MTAzMnNtZXBhcHoxOGFjcCRcIixcInVzZXJJRFwiOlwiMDAwMDAwMzgwMlwiLFwiY2lmSURcIjpcIjAwMDAwMDM4MDJcIn0iLCJleHAiOjE2Nzk4MDMzNDgsImlhdCI6MTY3OTcxNjk0OH0.xU5IguyTWW8Sl7ENIySIDzcy9qNCT1FTMUExGPHZDcs,1000,0,1,0010111000042,U AHGANYARNA (SA-195),0020111000042,U ZAW WIN THAN (ST-354),jmTest
